vehicle_id,name,agency,sub_agency,contract_number,ceiling_usd,pop_start,pop_end,pop_years,naics_primary,naics_secondary,psc,set_aside,vehicle_type,award_type,primes_count,status,obligated_estimate_usd,burn_status,incumbent_vulnerability_score,forecast_event,forecast_window,forecast_confidence_pct,primary_source_url,mmt_note
peo-dhms-deployment,PEO DHMS Deployment Solutions IDIQ,DHA,DHA / PEO DHMS,HT003826RE001,300000000,2026-06-01,2031-05-31,5,541512,,DA01,Unrestricted,Multiple Award IDIQ,FFP/T&M,6-9 expected,Solicitation-stage / upcoming,0,New,3,Proposals due Apr 21 2026,2026-04-21 to 2026-09-30,70,https://sam.gov/workspace/contract/opp/111847a96d214505b4d398a931dfdf1d/view,Solicitation HT003826RE001; proposals due 2026-04-21
dha-wf3,DHA PEO DHMS Workforce 3.0 (WF3) IDIQ,DHA,DHA / PEO DHMS (DHMS-CD),HT003821R0001,1425000000,2022-01-27,2027-01-26,5,541611,541618,R499,Two Lots - Lot 1 Unrestricted / Lot 2 Small Business Set-Aside,Multiple Award IDIQ,Multiple,"6 (Lot 1: BCG Federal, Capgemini released 04/04/26 OCI, Deloitte; Lot 2: Blue Clarity, Edera L3C, Optimal Strategix Group)",Active / final ordering year,752167880,Saturating,2,Ordering period ends Jan 26 2027; watch CTO6 J&A or successor RFI,2026-09-01 to 2027-01-26,60,https://www.fedhealthit.com/2022/01/1-4b-dha-peo-dhmsm-workplace-3-0-idiq/,Final ordering year; ends 01/26/2027 (sooner than cited Jan 2028). BCG Federal ~94% of obligations via continuous sole-source CTO1-CTO5 (CTO5 J&A 07/31/2026). No DTO6/CTO6 or successor RFI posted. Discrete scope migrating to DHMS-CD CSOs HT003825SC001 + HT003826SC001 (OTAs) - the re-entry lane for large businesses that exited WF3.
dha-gsp,DHA Geographic Service Provider IDIQ,DoD,DHA / MHS EITS,HT0015-24-series,2400000000,2024-01-31,2034-01-30,10,541513,,,Total Small Business,Multiple Award IDIQ,Multiple,multi-SB,Active,180000000,Underburning,2,SB on-ramp health check,2027-04-01 to 2028-01-31,60,https://www.choisystechnology.com/contract-vehicles/dha-gsp/,IT support to MTFs/OLBs worldwide
dha-omnibus-iv,DHA OMNIBUS IV IDIQ,DoD,DHA / USAMRAA / USUHS,HT001122D-series,10000000000,2022-06-20,2032-06-19,10,541715,541990,,Multi-tier + 8(a) On-Ramp,Multiple Award IDIQ,Multiple,30+,Active,400000000,Underburning,3,8(a) on-ramp solicitation,2026-05-15 to 2026-06-15,85,https://www.sysplus.com/contract/dha-omnibus-iv-idiq/,4 R&D market segments
dha-mss,DHA Medical Support Services IDIQ,DoD,DHA,,969000000,,2025-10-31,,,,,Multiple Award IDIQ,,,Winding Down,614000000,Saturating,5,Successor vehicle RFP,2026-10-01 to 2027-03-31,65,https://www.highergov.com/vehicle/dha-medical-support-services-mss-2007/,Clinical/medical support at MTFs
dha-medlog-jhuapl,DHA MEDLOG Enterprise Engineering IDC,DoD,DHA MEDLOG,HT001121D0002,100000000,,2026-05-30,5,,,,Single Award,Single Award IDC,,JHU APL,Active,,,2,Successor RFP or BAA,2026-07-01 to 2026-09-30,75,https://www.federalcompass.com/award-contract-detail/HT001121D0002,Johns Hopkins APL prime
aix-tech-dha,DHA Acquisition Support IDIQ (AIX Tech),DoD,DHA,,225000000,,2031-06-30,,,,,Small Business,Single Award IDIQ,,AIX Tech,Active,,,2,Ceiling re-benchmark,2027-01-01 to 2027-12-31,50,https://www.govconwire.com/articles/aix-tech-dha-acquisition-support-idiq,Advisory/PM not health IT delivery
va-t4ng2,VA T4NG2,VA TAC,VA OIT / TAC,,60700000000,2026-03-01,2036-03-01,10,541512,,,Multiple Award,Multiple Award IDIQ,Multiple,33 final (30 originally posted on SAM),Active / Awarded,0,New,2,ECMS Wave 3 call orders,2026-05-15 to 2026-06-30,70,https://sam.gov/opp/62249040a30c4cf8a905a03bf590f55d/view,Awarded; protest resolved 2026
va-ehrm-idiq,VA EHRM IDIQ (Oracle Health),VA,VA TAC,36C10B18D5000,,2018-05-17,,,541512,,,Single Award,Single Award IDIQ,CPFF/FFP,Oracle Health,Active,,,1,Sustainment task order $220-290M,2026-07-01 to 2026-09-30,65,https://www.gdit.com/about-gdit/press-releases/gdit-awarded-usd2-5-billion-idiq-contract-for-electronic-health-record/,VA EHR Modernization program vehicle
va-vector,VA VECTOR,VA,VA SAC-F,,25000000000,2018-08-27,2028-08-26,10,541611,,,SDVOSB Total Set-Aside,Multiple Award IDIQ,FFP/LH,69,Active,,Healthy,3,VECTOR 2.0 draft RFP,2026-10-01 to 2026-12-31,55,https://rbci.com/contracts/va-vector/,6 service groups; 80+ labor categories
